老板	NN
充电	VV
——	PU
企业界	NN
EMBA	NN
热	NN

近	AD
几	CD
年	M
，	PU
在职	JJ
进修	NN
成为	VV
企业界	NN
的	DEG
热门	JJ
话题	NN
，	PU
年轻	VA
的	DEC
大学	NN
校园	NN
中	LC
突然	AD
多	VA
了	AS
些	M
老	JJ
壮	JJ
脸孔	NN
，	PU
他们	PN
是	VC
一	CD
群	M
平均	AD
工作	VV
十	CD
年	M
以上	LC
的	DEC
专业	NN
经理人	NN
。	PU

为了	P
吸引	VV
这	DT
群	M
年薪	NN
百万	CD
台币	NN
以上	LC
的	DEC
社会	NN
人士	NN
重返	VV
象牙塔	NN
，	PU
大学	NN
纷纷	AD
开办	VV
高阶	JJ
企管	NN
硕士	NN
班	NN
；	PU
想	VV
充电	VV
的	DEC
社会	NN
老鸟	NN
也	AD
赶搭	VV
这	DT
班	M
学习	NN
列车	NN
，	PU
每	DT
年	M
有	VE
上千	CD
人	NN
想	VV
挤进	VV
台大	NR
、	PU
政大	NR
等	ETC
校	NN
。	PU

为什么	AD
功成名就	VV
的	DEC
企业	NN
人	NN
要	VV
重回	VV
课堂	NN
？	PU

他们	PN
想	VV
学	VV
什么	DT
社会	NN
大学	NN
无法	AD
提供	VV
的	DEC
知识	NN
？	PU

学术	NN
殿堂	NN
因	P
他们	PN
的	DEG
回流	NN
又	AD
会	VV
造成	VV
什么	DT
冲击	NN
呢	SP
？	PU

台湾	NR
科技	NN
产业	NN
大老	NN
台积电	NR
董事长	NN
张忠谋	NR
成为	VV
最	AD
抢手	VA
的	DEC
大学	NN
师资	NN
！	PU

两	CD
年	M
前	LC
，	PU
新竹	NR
交通	NR
大学	NN
的	DEG
高阶	JJ
主管	NN
管理	NN
硕士	NN
班	NN
请来	VV
电子业	NN
大师	NN
讲授	VV
企业	NN
经营	NN
理念	NN
，	PU
一举	AD
打响	VV
了	AS
交大	NR
EMBA	NN
的	DEG
知名度	NN
；	PU
今年	NT
交大	NR
又	AD
延聘	VV
了	AS
宏基	NR
集团	NN
董事长	NN
施振荣	NR
前来	VV
授课	VV
。	PU

企业	NN
人士	NN
争相	AD
挤入	VV
第一	OD
学府	NN
——	PU
台湾	NR
大学	NN
企管	NN
硕士	NN
班	NN
，	PU
也	AD
让	VV
台大	NR
在职	JJ
研究所	NN
的	DEG
录取率	NN
比	P
大学	NN
联考	NN
还	AD
低	VA
。	PU

各	DT
种	M
迹象	NN
显示	VV
，	PU
教育部	NN
推动	VV
的	DEC
「	PU
回流	NN
教育	NN
」	PU
，	PU
已经	AD
成为	VV
大学	NN
最	AD
热门	VA
的	DEC
投资	NN
事业	NN
。	PU

为了	P
建立	VV
多元	VA
的	DEC
升学	NN
管道	NN
，	PU
三	CD
年	M
前	LC
教育部	NN
大幅	AD
放宽	VV
在职生	NN
进修	VV
硕士	NN
的	DEC
名额	NN
，	PU
希望	VV
将	BA
大学	NN
研究所	NN
一般生	NN
和	CC
在职生	NN
的	DEG
比例	NN
从	P
以往	NT
的	DEG
九	CD
比	CC
一	CD
逐渐	AD
缩小	VV
。	PU

大学	NN
也	AD
可以	VV
自	AD
订	VV
考试	NN
科目	NN
、	PU
考试	NN
时间	NN
和	CC
收费	NN
标准	NN
，	PU
招收	VV
符合	VV
他们	PN
理想	NN
的	DEC
学生	NN
。	PU

需要	VV
广辟	VV
财源	NN
的	DEC
大学	NN
果然	AD
相当	AD
配合	VV
，	PU
八十八	OD
学年度	NN
有	VE
十二	CD
所	M
大学	NN
开办	VV
，	PU
八十九	OD
学年度	NN
增加	VV
到	VV
三十四	CD
所	M
。	PU

从	P
中文	NN
、	PU
外文	NN
、	PU
物理	NN
，	PU
