日本	NR
右翼	NN
又	AD
登上	VV
钓鱼岛	NR
，	PU
公然	AD
藐视	VV
中国	NR
政府	NN
为	P
2	CD
过	NN
关系	NN
所	MSP
做	VV
的	DEC
努力	NN
。	PU

政府	NN
当前	NT
除了	P
抗议	VV
看来	VV
没	VE
太	AD
多	VA
的	DEC
办法	NN
，	PU

中国	NR
现在	NT
具备	VV
用	P
经济	NN
手段	NN
教训	VV
敌意	NN
国家	NN
，	PU
民间	NN
抵制	VV
日货	NN
的	DEC
自尊	JJ
行为	NN
此时	NT
显得	VV
尤为	AD
重要	VA
。	PU

但	AD
近期	NT
在	P
互联网	NN
上	LC
经常	AD
看到	VV
有	VE
人	NN
转帖	VV
说	VV
抵制	VV
日货	NN
是	VC
愚蠢	JJ
行为	NN
，	PU
感触	NN
颇	AD
多	VA
，	PU
特此	AD
祝贺	VV
那些	DT
新	JJ
时期	NN
的	DEG
“	PU
准	JJ
汉奸	NN
”	PU
们	NN
。	PU

如果	CS
你	PN
认为	VV
日本	NR
货	NN
就是	AD
比	P
国货	NN
好	VA
，	PU
拒绝	VV
抵制	VV
日货	NN
。	PU
恭喜	VV
你	PN
，	PU
你	PN
可以	VV
做	VV
汉奸	NN
了	SP
！	PU

1945年	NT
前	LC
有些	DT
人	NN
为	P
得到	VV
白面	NN
，	PU
也	AD
是	VC
这样	AD
做	VV
的	SP
。	PU

如果	CS
你	PN
认为	VV
抵制	VV
日货	NN
会	VV
招致	VV
日本人	NN
反击	NN
，	PU
进而	AD
拒绝	VV
抵制	VV
日货	NN
，	PU
恭喜	VV
你	PN
，	PU
你	PN
可以	VV
做	VV
汉奸	NN
了	SP
！	PU

1945年	NT
前	LC
，	PU
个别	JJ
人	NN
味	P
保全	VV
性命	NN
也	AD
是	VC
和	P
你	PN
一样	VA
的	DEC
选择	NN
。	PU

如果	CS
你	PN
认为	VV
抵制	VV
日货	NN
，	PU
会	VV
杀跌	VV
一千	CD
自	AD
损	VV
八百	CD
，	PU
进而	AD
不	AD
敢	VV
抵制	VV
日货	NN
，	PU
恭喜	VV
你	PN
，	PU
你	PN
具备	VV
做	VV
汉奸	NN
的	DEC
条件	NN
了	SP
，	PU

因为	P
1945年	NT
前	LC
，	PU
汪精卫	NR
等	ETC
人	NN
也	AD
和	P
你	PN
做	VV
了	AS
同样	JJ
的	DEG
选择	NN
。	PU

如果	CS
你	PN
网上	NN
公然	AD
发帖	VV
叫嚣	VV
抵制	VV
日货	NN
是	VC
愚蠢	JJ
行为	NN
，	PU
公开	AD
倡导	VV
拒绝	VV
抵制	VV
日货	NN
，	PU
恭喜	VV
你	PN
，	PU
你	PN
有	VE
做	VV
大	JJ
汉奸	NN
的	DEC
血统	NN
。	PU

汪精卫	NR
等	ETC
也	AD
是	VC
这样	AD
思考	VV
的	SP
。	PU

在	P
恭喜	VV
你	PN
的	DEC
同时	NN
也	AD
告诉	VV
你	PN
，	PU
在	P
你	PN
贪图	VV
蝇头小利	NN
的	DEC
时候	NN
，	PU
更	AD
多	VA
的	DEC
国人	NN
选择	VV
了	AS
抵制	NN
，	PU

那	PN
是	VC
因为	P
他们	PN
知道	VV
失去	VV
蝇头小利	NN
并	AD
不	AD
可怕	VA
，	PU
可怕	VA
的	DEC
是	VC
失去	VV
国格	NN
自尊	NN
。	PU

可笑	VA
的	DEC
是	VC
，	PU
日本人	NN
从来	AD
不	AD
把	BA
汉奸	NN
当	VV
人	NN
，	PU
连	AD
